title,price,description,link,Image,categorie
BIODERMA SEBIUM PAIN 100G,19.990 TND TTC,"

Sébium Pain nettoie en douceur et est le seul pain nettoyant à limiter la formation des imperfections grâce au complexe sébo-correcteur Fluidacti qui normalise bilogiquement la qualité du sébum. 
Enrichi en actifs purifiants, sulfate de zinc et de cuivre, Sébium Pain assainit l’épiderme et limite la sécrétion sébacée. 
Complexe sébo-correcteur Fluidactiv™ qui normalise bilogiquement la qualité du sébum.

",https://anais.tn/produit/bioderma-sebium-pain-100g/,https://anais.tn/wp-content/uploads/2020/10/Untitled-design-40-1.png,Autre
BIODERMA SENSIBIO DS+ GEL MOUSSANT 200ML,43.550 TND TTC,"

Sensibio Gel Moussant Nettoyant Purifiant visage et corps pour Peaux associant rougeurs et squames assure un nettoyage profond et hydratant des peaux irritées et sébo-squameuses.

",https://anais.tn/produit/bioderma-sensibio-dsgel-moussant-peaux-sensibles-200ml/,https://anais.tn/wp-content/uploads/2020/10/téléchargement-min-1.jpg,Autre
BIONIKE DEFENCE DEO ACTIVE 72H 100ML,24.500 TND TTC,"

Contrôle prolongé des mauvaises odeurs, même en cas de transpiration intense.

",https://anais.tn/produit/bionike-defence-deo-active-72h-vapo/,https://anais.tn/wp-content/uploads/2020/08/BioNike-Deo-Active.jpg,Autre
BIONIKE DEFENCE DEO FRESH 48H 100ML,24.500 TND TTC,"

Lait déodorant, sans alcool et sans parfum, avec des ingrédients protecteurs.
Formulé pour réguler la transpiration et lutter contre la formation des mauvaises odeurs.
 Grâce à son mode d’application, il donne une sensation de peau fraîche et sèche, assurant une efficacité déodorante testée jusqu’à 48 heures. 
Testé pour ses propriétés antitaches : taches blanches sur les vêtements noirs et jaunes sur les vêtements blancs. 
Contient du parfum.

",https://anais.tn/produit/bionike-defence-deo-fresh-48-h-100-ml/,https://anais.tn/wp-content/uploads/2020/08/BioNike-DeoFresh.jpg,Autre
BIONIKE DEFENCE DEO SENSITIVE 48H 100ML,23.990 TND TTC,"

Lait déodorant, sans alcool et sans parfum, avec des ingrédients protecteurs. 
Normalise la transpiration en assurant une efficacité déodorante testée jusqu’à 48 heures, en respectant l’équilibre physiologique de la peau, même la plus sensible, pour un maximum de confort.

",https://anais.tn/produit/bionike-defence-deo-sensitive-48-h-100-ml/,https://anais.tn/wp-content/uploads/2020/08/BioNike-Deo-Sensitive.jpg,Autre
DUCRAY HIDROSIS CONTROL CRÈME MAINS ET PIEDS,18.600 TND TTC,"

Une réponse alliant efficacité et haute tolérance à la transpiration excessive des mains et des pieds.

",https://anais.tn/produit/ducray-hidrosis-control-creme-mains-et-pieds/,https://anais.tn/wp-content/uploads/2020/06/ducray-hidrosis-control-creme-50-mljpg.jpg,Autre
DUCRAY ICTYANE PAIN DERMATOLOGIQUE 100G,27.000 TND TTC,"

Le pain dermatologique Ictyane des laboratoires Ducray est conçu pour prendre soin des peaux sèches et sensibles lors de la toilette. 
C’est un savon solide qui est parfaitement adapté à ces types de problèmes cutanés.

Sa mousse généreuse et douce procure un véritable moment de plaisir lors de la douche ou du bain.


",https://anais.tn/produit/ducray-ictyane-pain-dermatologique-100g/,https://anais.tn/wp-content/uploads/2020/06/3282770075540-ictyane-pain-dermatologique-100g-2x.jpg,Autre
DUREX FETHERLITE ULTRA BT/3,9.200 TND TTC,"

Préservatifs profilés, transparents, avec réservoir et fabriqués en latex de caoutchouc naturel avec un lubrifiant non spermicide. 

Les préservatifs Fetherlite sont les plus fins de notre gamme latex, pour encore plus d’intimité avec votre partenaire.

Leur fiabilité et leur degré de protection demeurent bien sûr irréprochables, et leur forme profilée permet une pose plus facile et assure de meilleures sensations pendant vos ébats.

",https://anais.tn/produit/durex-fetherlite-ultra-bt-3/,https://anais.tn/wp-content/uploads/2021/01/durex-fetherlite-bt3.jpg,Autre
DUREX GEL LUBRIFIANT HEAT (ORANGE),19.071 TND TTC,"

DUREX PLAY GEL LUBRIFIANT HEAT ORANGE est Idéal pour varier les plaisirs, le gel lubrifiant contient un ingrédient spécial qui chauffe au contact de la peau et procure une légère sensation de chaleur qui décuple immédiatement votre plaisir.

",https://anais.tn/produit/durex-gel-lubrifiant-heat-orange/,https://anais.tn/wp-content/uploads/2021/01/5038483959916_1000x1000.jpg,Autre
DUREX PLEASURE ME BT/3,9.200 TND TTC,"

Durex Pleasure Me 3 Préservatifs sont des préservatifs qui ont une texture à la fois nervurée et perlée tout à fait unique pour une plus grande stimulation des deux partenaires.

",https://anais.tn/produit/durex-pleasure-me-bt-3/,https://anais.tn/wp-content/uploads/2021/01/preservatif-toro-bt-3.jpg,Autre
