title,price,description,link,Image,categorie
NUXE MON RITUEL DE BEAUTÉ,89.900 TND TTC,"L’Huile Prodigieuse répare et adoucit en un seul geste le visage, le corps et les cheveux (huile-sèche multi-usages).Parfum prodigieux: formulé aux notes de bergamote, de mandarine, et de notes de fleurs d’oranger, le parfum prodigieux capte l’essence de l’Huile Prodigieuse de Nuxe en eau de parfum non photosensibilisante. Non photosensibilisant. Conditionnement : flacon verre. Prodigieux huile de douche: passez un agréable moment sous la douche en compagnie de l’huile de douche NUXE délicatement parfumée comme l’Huile Prodigieuse. Elle hydrate tout en procurant un vrai plaisir des sens.Prodigieux lait parfumé: une texture fondante associée à un parfum mythique pour une peau parfaitement hydratée. La peau est sublimement irisée et parfumée. Une crème gel multi-correction prodigieuse tube 15ml : Ce soin, grâce à son complexe anti-oxydant à la fleur de jasmin, lutte contre les effets néfastes d’un style de vie actif (fatigue, stress, pollution) ainsi que contre l’impact de l’environnement urbain sur la peau.Dès la première application, il hydrate intensément la peau et jour après jour le teint est plus lumineux, les 1ers signes de l’âge sont estompés. Lissée, hydratée, repulpée, la peau est rayonnante. ",https://anais.tn/produit/nuxe-mon-rituel-de-beaute/,https://anais.tn/wp-content/uploads/2021/09/3264680022494-trousse-prodigieuse-mon-rituel-beaute-2x-min.jpg,Corps
NUXE SPRAY FONDANT HAUTE PROTECTION SPF50,107.000 TND TTC,"Prévient les taches, hydrate. Protection cellulaire anti-âge.Visage et corps.",https://anais.tn/produit/spray-fondant-haute-protection-spf50/,https://anais.tn/wp-content/uploads/2021/03/53668f2e48b477e69bc6737784223d9aa66a9e46_3264680012525-compressed.jpg,Corps
PACK NUXE,185.900 TND TTC,-,https://anais.tn/produit/pack-nuxe/,https://anais.tn/wp-content/uploads/2021/05/NUXE.jpg,Corps
PACK NUXE,185.900 TND TTC,-,https://anais.tn/produit/pack-nuxe/,https://anais.tn/wp-content/uploads/2021/05/NUXE.jpg,Corps
PAPULEX LOTION 125ML,42.600 TND TTC,"PAPULEX lotion nettoyante est spécialement adaptée aux peaux jeunes à problèmes. Son action antiinflammatoire et antibactérienne, permet de favoriser la disparition des imperfections.La Lotion PAPULEX favorise la disparition des imperfections grâce à ses ingrédients clés (Nicotinamide et ABA – anti-adhésion bactérienne).Un geste simple et rapide pour le visage ou les surfaces plus étendues (dos, poitrine).",https://anais.tn/produit/papulex-lotion-125ml/,https://anais.tn/wp-content/uploads/2020/10/LOTION-min.jpg,Corps
PHYTEAL FITALGINE GEL RELAXANT 50ML,18.500 TND TTC,"Relaxe et procure une sensation de bien être immédiate et durable. HUILE ESSENTIELLE DE ROMARIN : L’huile essentielle de romarin est relaxante. HUILE ESSENTIELLE DE MENTHE : L’huile essentielle de menthe est tonifiante, stimulante et rafraîchissante.FITALGINE ne présente aucune contre-indication ni limitation d’emploi. Convient à l’enfant, à l’adulte et à la femme enceinte. Formule hypoallergénique, non comédogène, non testée sur les animaux.",https://anais.tn/produit/cytolnat-arthrogine-huile-de-massage/,https://anais.tn/wp-content/uploads/2020/11/fitalgine-gel-relaxant-50ml-min.jpg,Corps
PHYTO – PHYTOSPECIFIC SPRAY DÉMÊLANT MAGIQUE 200ML,54.476 TND TTC,"Sos « anti-noeuds », SOS « anti-pleurs » , ce soin dompte en douceur les textures frisées et crépues les plus rebelles des enfants, en offrant un démêlage instantané ! Hypoallergénique, sa formule, sans sulfate, sans parabène, sans silicone et sans huile minérale, assure un coiffage en toute sécurité. Plaisir et naturalité se conjuguent avec performance démêlante et hydratante pour rendre ce soin Magique .",https://anais.tn/produit/phyto-phytospecific-spray-demelant-magique-200ml/,https://anais.tn/wp-content/uploads/2020/05/phyto-phytospecific-kids-spray-demelant-magique-200ml-500x500-removebg-preview.png,Corps
PHYTO PHYTOELIXIR MASQUE NUTRITION INTENSE,145.900 TND TTC,"Ce masque, onctueux et gourmand diffuse un véritable élixir nutritif sur la fibre capillaire pour redonner vie à vos cheveux. Immédiatement et pendant plusieurs jours, votre chevelure est transformée, plus facile à coiffer, et infiniment plus douce au toucher.Elle se pare d’une brillance incomparable, tout en légèreté. Ce masque, onctueux et gourmand diffuse un véritable élixir nutritif sur la fibrecapillaire pour redonner vie à vos cheveux.",https://anais.tn/produit/phytoelixir-masque-nutrition-intense/,https://anais.tn/wp-content/uploads/2020/05/5ec80b34433a7_phytoelixir_mask-min.png,Corps
PHYTOREMED HUILE DE MASSAGE ANTI STRESS ET RELAXANTE 100ML,17.660 TND TTC,"L’huile de massage détente associée aux bienfaits du massage, les vertus des huiles essentielles de Lavande et de Camomille Romaine, de Marjolaine et d’Ylang Ylang, apaisent les tensions quotidienne et favorisant un retour au calme et un sommeil serein.",https://anais.tn/produit/phytoremed-huile-de-massage-anti-stress-et-relaxante-100ml/,-,Corps
REVITAL – HUILE DE PEPINS DE FIGUE DE BARBARIE BIO,75.900 TND TTC,"Elle nourrit et tonifie la peau. Elle répare la peau en atténuant les cicatrices, en estompant les boutons d’acnés et en diminuant les tâches de vieillesse. Elle régénère la peau en l’aidant à prévenir et à guérir des irritations cutanées, de l’eczéma, des petites plaies, des gerçures dues au feu du rasoir…Elle booste le renouvellement cellulaire et de ce fait, diminue les rides, les cernes et les vergetures. Elle régule le taux de sébum des peaux grasses. Elle protège les ongles et les rend moins cassants. Elle nourrit les cheveux et les revitalise, les rendant plus souples et plus brillants. ",https://anais.tn/produit/revital-huile-de-pepins-de-figue-de-barbarie-bio/,https://anais.tn/wp-content/uploads/2020/11/revital-10ml-fr-scaled.jpg,Corps
