title,price,description,link,Image,categorie
BIO ORIENT HUILE ESSENTIELLE DE PAMPLEMOUSSE 10ML,10.600 TND TTC,"

Préventif et curatif dans toutes les infections virales ou bactériennes.
Assainissement de l’air. Stimulation du système digestif.
L’huile essentielle de citron a également une action positive sur la micro circulation en prévention de phlébites et thromboses.

",https://anais.tn/produit/bio-orient-huile-essentielle-de-pamplemousse-10ml/,https://anais.tn/wp-content/uploads/2020/07/BIO-ORIENT-Huile-Essentielle-de-Pamplemousse-10-ml-compressed.jpg,Nature/Bio
LIERAC SENSORIELLE – HUILE SECHE TONIFIANTE,69.800 TND TTC,"

Une huile sèche dynamisante, hydratation 24h, à vaporiser chaque matin pour un réveil énergique et tout en sensorialité. 
Cette huile légère au toucher sec et soyeux renferme une sélection d’huiles végétales ultra hydratantes et le parfum tonifiant aux 3 fleurs d’agrumes.

",https://anais.tn/produit/lierac-sensorielle-huile-seche-tonifiante/,https://anais.tn/wp-content/uploads/2020/10/lierac-sensorielle-huile-seche-tonifiante-100ml-f1200-f1200-min.jpg,Nature/Bio
PHYTOREMED HUILE DE MASSAGE ANTI STRESS ET RELAXANTE 100ML,17.660 TND TTC,"

L’huile de massage détente associée aux bienfaits du massage, les vertus des huiles essentielles de Lavande et de Camomille Romaine, de Marjolaine et d’Ylang Ylang, apaisent les tensions quotidienne et favorisant un retour au calme et un sommeil serein.

",https://anais.tn/produit/phytoremed-huile-de-massage-anti-stress-et-relaxante-100ml/,-,Nature/Bio
PHYTOREMED TISANE ANTI STRESS 70GR,9.980 TND TTC,"

Stress et épuisement physique et morale. 
Anxiété et agitations.

",https://anais.tn/produit/phytoremed-tisane-anti-stress-70gr/,-,Nature/Bio
PHYTOREMED TISANE DIGESTION 70GR,9.980 TND TTC,"

L’infusion Digestion PhytoRemed diminue les sensations de somnolence, de lourdeurs et d’inconforts liées aux ballonnements ou aux gaz intestinaux.

",https://anais.tn/produit/phytoremed-tisane-digestion-70gr/,-,Nature/Bio
PHYTOREMED TISANE MINCEUR 70GR,9.980 TND TTC,"

Phytoremed tisane minceur bio cette infusion contribue à brûler les graisse, éliminer l’eau et les toxines qui sont responsables du stockage des kilos superflus.
 Une tisane naturelle et bio qui favorise la digestion et le confort après les repas, et aide à lutter contre l’obésité et la cellulite.
Elle accompagne vos cures d’amincissement pour un résultat optimale.

",https://anais.tn/produit/phytoremed-tisane-minceur-70gr/,https://anais.tn/wp-content/uploads/2020/08/PHYTOREMED-TISANE-MINCEUR-compressed.jpg,Nature/Bio
PHYTOREMED TISANE TRANSIT ET LAXATIVE 70GR,9.980 TND TTC,"

Phytoremed tisane transit et laxative bio une infusion qui aide à réguler le transit naturellement et efficacement sans agresser les intestins.

",https://anais.tn/produit/phytoremed-tisane-transit-et-laxative-70gr/,https://anais.tn/wp-content/uploads/2020/08/PHYTOREMED-TRANSITLAXATIVE-compressed.jpg,Nature/Bio
REVITAL – HUILE DE PEPINS DE FIGUE DE BARBARIE BIO,75.900 TND TTC,"

Elle nourrit et tonifie la peau. 
Elle répare la peau en atténuant les cicatrices, en estompant les boutons d’acnés et en diminuant les tâches de vieillesse. 
Elle régénère la peau en l’aidant à prévenir et à guérir des irritations cutanées, de l’eczéma, des petites plaies, des gerçures dues au feu du rasoir…
Elle booste le renouvellement cellulaire et de ce fait, diminue les rides, les cernes et les vergetures. 
Elle régule le taux de sébum des peaux grasses. 
Elle protège les ongles et les rend moins cassants. 
Elle nourrit les cheveux et les revitalise, les rendant plus souples et plus brillants. 

",https://anais.tn/produit/revital-huile-de-pepins-de-figue-de-barbarie-bio/,https://anais.tn/wp-content/uploads/2020/11/revital-10ml-fr-scaled.jpg,Nature/Bio
SO BIO HUILE ESSENTIELLE ARBRE À THÉ BIO,33.990 TND TTC,"

L’arbre à thé, ou Tea Tree est traditionnellement utilisé en Australie et reconnu pour ses vertus antibactérienne et pour améliorer les défenses immunitaires

",https://anais.tn/produit/so-bio-huile-essentielle-arbre-a-the-bio/,https://anais.tn/wp-content/uploads/2020/10/compressed-d7o2.jpg,Nature/Bio
VITAL PHYTOTHERA HUILE MINCEUR 60ML,13.700 TND TTC,"

Huile amincissante pour massage des zones concernées (ventre, cuisse, hanches)
Prévention des vergetures

",https://anais.tn/produit/vital-phytothera-huile-minceur-60ml/,https://anais.tn/wp-content/uploads/2020/08/3572-phytothera-huile-minceur-60ml-500x500-1.jpg,Nature/Bio
