,title,price,description,link,Image,categorie
11,ALANIA COFFRET,102.840 TND TTC,"
ALANIA COFFRET REPARATEUR PRODIGE contient:

Sérum: Incontournable allié des cheveux fragilisés, l’après-shampooing « Réparateur Prodige » d’Alania soigne et revitalise votre chevelure fatiguée.
Le shampooing:« Réparateur Prodige » d’Alania est un véritable soin revitalisant et anti-chute.
Masque: Véritable soin capillaire, le masque « Réparateur Prodige » d’Alania apporte brillance, hydratation et souplesse à vos cheveux.

",https://anais.tn/produit/coffret-alania/,https://anais.tn/wp-content/uploads/2021/01/optimized-qkd4.jpg,Cheveux
12,ALANIA MASQUE REPARATEUR PRODIGE 150G,38.400 TND 31.998 TND TTC,"

Véritable soin capillaire, le masque Réparateur Prodige d’Alania apporte brillance, hydratation et souplesse à vos cheveux.
Grace à sa composition naturellement riche, il protège votre cuir chevelu des agressions du quotidien et répare en profondeur vos pointes sèches et abimés.

",https://anais.tn/produit/alania-masque-reparateur-prodige-150g/,https://anais.tn/wp-content/uploads/2021/12/Masque-Capillaire-Reparateur-Prodige-150g-anais-parapharmacie-min-1.png,Cheveux
13,ALANIA SERUM CAPILLAIRE,33.915 TND TTC,"

Grâce à ses actifs riches en vitamine E, le sérum capillaire d’Alania nourrit les longueurs sans les alourdir.
 Il est utilisé pour lisser, discipliner et apporter de l’éclat et de la brillance aux cheveux.

",https://anais.tn/produit/alania-serum/,https://anais.tn/wp-content/uploads/2021/01/alania-serum-capillaire-reparateur-prodige-50ml.jpg,Cheveux
14,ALANIA SHAMPOING,35.540 TND 29.600 TND TTC,"

Le shampooing réparateur Prodige d’Alania est un véritable soin revitalisant et anti chute.

",https://anais.tn/produit/shampoing-alania/,https://anais.tn/wp-content/uploads/2021/01/compressed-1y97.jpg,Cheveux
15,ALMAFLORE BAIN D’HUILES CHEVEUX : COMPLEXE 7 100ML,18.980 TND TTC,"

Ce bain de huile est composé de 7 Huiles, 7 composés Actifs ; l’huile d’amande Douce, huile de nigelle, huile de sésame, huile de Moutarde, huile de ricin et l’huile d’ortie et l’huile de romarin à Cineole.
Il est destiné pour cheveux secs, dévitalisés et cassants.
Les Bains aux huiles végétales sont parfaits pour soigner, nourrir, sublimer les cheveux même très secs, fourchus et abimés.
Ce soin apporte brillance, vigueur et douceur à vos cheveux.

",https://anais.tn/produit/almaflore-bain-dhuiles-cheveux-complexe-7-125ml/,https://anais.tn/wp-content/uploads/2020/10/bain-dhuile-500x500-min.jpg,Cheveux
16,ALMAFLORE BEURRE DE KARITE 100% NATUREL 100GR,17.820 TND TTC,"

Le beurre de karité qui est extrêmement riche en vitamines est un indispensable qui protège la peau des méfaits du soleil, l’adoucit et régénéré les peaux abimées
Le beurre de karité nourrit également les cheveux et leur redonne brillance et beauté.
Le beurre de karité Almaflore est très facilement et durablement absorbé par la peau
Très efficace comme baume pour les cheveux puisqu’elle rendra vos cheveux souples et brillants

",https://anais.tn/produit/almaflore-beure-de-karite-100-naturel-100gr/,https://anais.tn/wp-content/uploads/2020/10/almaflore-beurre-de-karite-brut-bio-100-g.jpg,Cheveux
17,ALMAFLORE BEURRE DE KARITE DESODORISE 100 GR,17.280 TND TTC,"

Utilisé sur les peaux à eczéma, les peaux les plus sensibles, les plus fragiles et le psoriasis
Il apaise, hydrate, régénère, cicatrise, calme, protège, normalise et polit la peau et les lèvres et atténue naturellement la peau d’orange
Il permet de protéger et hydrater la peau et les fesses des nouveaux nés
Il protège de de l’effet des UV et évite un vieillissement prématuré de la peau, évite le dessèchement des cheveux

",https://anais.tn/produit/almaflore-beurre-de-karite-desodorise-100gr/,https://anais.tn/wp-content/uploads/2020/10/almaflore-beurre-de-karite-desodorise-150-g.jpg,Cheveux
18,ALMAFLORE GHASSOUL 200GR,6.450 TND TTC,"

Soin capillaire par excellence, on peut l’utiliser entre autres comme shampoing ou démêlant naturel pour cheveux gras (il assainit et régule le sébum), secs, frisés ou crépus (il a des priorités gainantes)
Pour les cheveux fins, ses vertus gonflantes sont particulièrement appréciées
C’est surtout une « terre saponifère » qui possède des propriétés lavantes et désincrustantes hors nomes, tout en respectant le film lipo-protecteur de la peau
Son nom vient de « ghassala » ou « laver »en arabe et son usage est plutôt adapté aux peaux normales à grasses et acnéiques

",https://anais.tn/produit/almaflore-ghassoul-200gr/,https://anais.tn/wp-content/uploads/2020/10/almaflore-ghassoul-ou-rassoul-200gr-1.jpg,Cheveux
19,ALMAFLORE HUILE D ORTIE 10ML,4.370 TND TTC,"

Pour la peau: Elle est idéale pour les peaux sèches puisqu’elle est nourrissante ,elle s’utilise également en cas d’eczéma.
Pour les cheveux: Elle favorise la croissance des cheveux tout en stimulant la circulation sanguine  il est conseillé de (faire un massage au niveau du cuir chevelu pendant quelques minutes).
 Elle se présente comme un antichute naturel. 
Elle fortifie et nourrit  les cheveux secs.

",https://anais.tn/produit/almaflore-huile-d-ortie-10ml/,https://anais.tn/wp-content/uploads/2020/10/almaflore-huile-d-ortie-10-ml-min.jpg,Cheveux
20,ALMAFLORE HUILE D’AMANDE DOUCE 10ML,4.340 TND TTC,"

Visage:  Cette huile est destiné pour toutes les peaux : peaux sèches, ternes et même ridées. 
Elle peut être utilisé pour les enfants.
Cheveux: Elle est très utile pour les cheveux secs, rêches, crêpés, cassants et fourchus
Corps: Elle se présente comme une base pour les huiles corporelles nourrissantes et parfumées. Elle est également un très bon soin pour les mains.

",https://anais.tn/produit/almaflore-huile-damande-douce-10ml/,https://anais.tn/wp-content/uploads/2020/10/para-anais-amande-min.jpg,Cheveux
