title,price,description,link,Image,categorie
FORTE PHARMA PACK MINCEUR,148.900 TND TTC,"

Le Pack de Forté-Pharma est un programme minceur complet qui vous aide à perdre du poids , il est destiné à toutes les personnes qui souhaitent combattre la graisse corporelle et affiner leur silhouette. 
Retrouvez à l’intérieur du coffret : Liporédux™ 56 Gélules: s’attaque à vos graisses installées grâce au Sinetro, complexe breveté riche en extraits secs d’agrumes et en guarana qui contribue au métabolisme et agisse sur la dégradation des graisses donc favorise la perte de poids.
TURBODRAINE 500ML: Un draineur complet se caracterise par une formule au très bon goût associe des actifs d’origine végétale pour vous aider à Drainer, purifier l’organisme en profondeur pour favoriser l’élimination de l’eau et brûler les calories grâce à l’action du Thé vert qui stimule la dégradation des lipides.
 Sa formule est composée d’actifs d’origine naturelle, sans colorant et sans sucres.
NB: Un Gout Framboise/ Pêche 
Calorilight OFFERT: est un complément alimentaire aux actifs d’origine naturelle, sa formule est basée sur le FIBROCAPTOL, une association exclusive de fibres d’orange et de cacao au fort pouvoir lipo-absorbant.
Calorilight contribue à capter 50% des matières grasses et à alléger vos repas 

",https://anais.tn/produit/forte-pharma-pack-minceur/,https://anais.tn/wp-content/uploads/2020/09/forte-pharma-pack-minceur-compressed.jpg,Autre
FORTÉ PHARMA TURBO DRAINE AGRUMES 500ML,45.500 TND TTC,"

Un Draineur qui a un bon goût, à boire tout au long de la journée, sans effort.
Turbo draine est un draineur efficace et complet. Sa formule au très bon goût associe des actifs d’origine végétale pour aider à :
Drainer et purifier l’organisme en profondeur : sa formule est composée d’actifs tels que la Reine des Prés et le Thé vert reconnus pour favoriser l’élimination de l’eau.
Brûler les calories grâce à l’action du Thé vert qui stimule la dégradation des lipides.
Sa formule est composée d’actifs d’origine naturelle, sans colorant et sans sucres.

",https://anais.tn/produit/forte-pharma-turbo-draine-500ml/,https://anais.tn/wp-content/uploads/2021/04/forte-pharma-turbodraine-agrumes-500ml-compressed.jpg,Autre
LIERAC PHYTOLASTIL GEL 200ML,93.280 TND TTC,"

Puberté, Grossesse, Variations de Poids
Formulé avec le complexe végétal alchémille – lierre – prêle restructurant, ce gel non gras contribue à prévenir l’apparition des vergetures sur les seins, le ventre, les hanches et les cuisses.
PHYTOLASTIL, des soins hautement concentrés en naturalité : avec plus de 97% d’ingrédients d’origine naturelle*
*Phytolastil Gel : 97,87% / Soluté : 98,32% / Ampoules : 99,52% de naturalité

",https://anais.tn/produit/lierac-phytolastil-gel-200ml/,https://anais.tn/wp-content/uploads/2020/10/5e288113ed81c_phytolastil_reflet-min.jpg,Autre
MINCI LIGNE 20 SACHETS,17.500 TND TTC,"

MINCILIGNE est un draineur multifonction qui favorise l’élimination rénale et stimule la combustion des graisses et la détoxification du foie. 
L’association des plantes et des vitamines permet de purifier l’organisme et aide à brûler les calories tout en empêchant le stockage des matières grasses.
MINCILIGNE associe 8 plantes, 2 vitamines et 1 minéral pour aider votre organisme à perdre du poids et lui donner plus d’énergie pour lutter contre la fatigue.

",https://anais.tn/produit/minci-ligne-20-sachet/,https://anais.tn/wp-content/uploads/2021/04/minciligne-vitamine-20-sachets.jpg,Autre
MINCILIGNE POSTNATALE 275ML,18.350 TND TTC,"

Minci ligne postnatale est un draineur destiné pour les femmes après accouchement pour remodeler, drainer, éliminer et brûler les graisses.

",https://anais.tn/produit/minciligne-postnatale-275ml/,https://anais.tn/wp-content/uploads/2021/04/minciligne-postnatale-1__1_-removebg-preview.png,Autre
NATURALYA AGAR 450 60 GÉLULES,24.950 TND TTC,"

Coupe faim NATUREL totalement acalorique
Piégé les mauvaises graisses et sucres
Fait baisser le taux de cholestérol et de triglycérides

",https://anais.tn/produit/naturalya-agar-450-60-gelules/,https://anais.tn/wp-content/uploads/2020/10/agar-450-coupe-faim-naturalya.jpg,Autre
NATURALYA DESTOCK BRÛLEUR DE GRAISSE 60 G,28.225 TND TTC,"

Favorise l’élimination naturelle des graisses et des tissus adipeux.
Permet d’éviter les baisses de forme au cours des régimes grâce aux extraits de thé vert et de guarana.

",https://anais.tn/produit/naturalya-destock-bruleur-de-graisse-60-g/,https://anais.tn/wp-content/uploads/2020/09/destock-bruleur-de-graisses-naturalya-anais.png,Autre
NATURALYA PHYTOLINE MINCEUR 110ML,31.900 TND TTC,"

Phytoline pour un amincissement intensif : Ventre, hanches et bras.

Anti cellulite.

Lipolytique.

Restructurant et raffermissant.

Sans paraben.

",https://anais.tn/produit/naturalya-phytoline-minceur-110ml/,https://anais.tn/wp-content/uploads/2020/09/phytoline-amincissement-intensif-naturalya.jpg,Autre
NATURALYA VINATURE ARÔME CITRON 250ML,10.200 TND TTC,"

Le vinaigre de cidre est indiqué en cas de surpoids pondéral, de mauvais cholestérol, de troubles digestifs, de fatigue et anxiété

",https://anais.tn/produit/naturalya-vinature-arome-citron-250ml/,https://anais.tn/wp-content/uploads/2020/10/compressed-giq7-scaled.jpg,Autre
PACK MINCEUR EAFIT,271.784 TND 184.110 TND TTC,"

EAFIT DRAIN DETOX EAFIT draineur Détoxifiant , favorise la Circulation , facilite le drainage , participe à l’élimination des graisses 500ml
EAFIT Fat Regul Combustion des graisses (thé vert) , favorise la diminution des apports caloriquees , absorbe les graisses (nopal) , formule synergique (thé vert, nopal, chitosan, chrome) 90 comprimés
EAFIT Bellyslim , aide à réduire ls ballonnements interne avec le charbon , favorise la dégradation des lipides (Thé vert) , contribue au bon fonctionnement des enzymes digestives (Calcium) , formule complète : charbon, enzymes digestives, fibres, café vert , complément alimentaire ,120 gélules

",https://anais.tn/produit/pack-minceur-eafit/,https://anais.tn/wp-content/uploads/2021/05/EAFIT.jpg,Autre
